Category,Product Name,Description,Quantity,Original Price (MRP),Selling Price,Image URL
Pickles,Chola Mango Pickle,Made using Moovandan Mango for a special traditional Malabar taste.,"[100g, 200g, 500g, 1kg, 5kg]","[₹40, ₹75, ₹150, ₹270, ₹1200]","[₹35, ₹65, ₹130, ₹240, ₹1100]",https://www.cholafoods.com/images/products/mango-pickle.jpg
Pickles,Chola Tender Mango Pickle (Nadan Kanni Manga),Traditional Nadan Kanni Manga select tender mangoes steeped in spices.,"[100g, 200g, 500g, 1kg, 5kg]","[₹50, ₹95, ₹200, ₹380, ₹1700]","[₹45, ₹85, ₹180, ₹340, ₹1550]",https://www.cholafoods.com/images/products/tender-mango-pickle.jpg
Pickles,Chola Garlic Pickle,"Richly spiced garlic cloves pickle, essential companion with meals.","[100g, 200g, 500g, 1kg, 5kg]","[₹45, ₹85, ₹185, ₹350, ₹1550]","[₹40, ₹75, ₹165, ₹310, ₹1400]",https://www.cholafoods.com/images/products/garlic-pickle.jpg
Pickles,Chola Lemon Pickle,Carefully selected juicy lemons cured with authentic South Indian spices.,"[100g, 200g, 500g, 1kg, 5kg]","[₹40, ₹75, ₹150, ₹270, ₹1200]","[₹35, ₹65, ₹130, ₹240, ₹1100]",https://www.cholafoods.com/images/products/lemon-pickle.jpg
Pickles,Chola Dates Pickle,"Sweet & tangy dates pickle, a major favorite for weddings in Malabar.","[100g, 200g, 500g, 1kg, 5kg]","[₹50, ₹95, ₹195, ₹360, ₹1650]","[₹45, ₹85, ₹175, ₹330, ₹1500]",https://www.cholafoods.com/images/products/dates-pickle.jpg
Spices & Masala Mixes,Chola Chicken Masala,Aromatic blend of authentic Kerala spices tailored for rich chicken curry.,"[100g, 50g]","[₹42, ₹22]","[₹38, ₹20]",https://www.cholafoods.com/images/spices/chicken-masala.jpg
Spices & Masala Mixes,Chola Fish Masala,Specialty spicy recipe mix for traditional Kerala fish curry and marination.,"[100g, 50g]","[₹40, ₹20]","[₹35, ₹18]",https://www.cholafoods.com/images/spices/fish-masala.jpg
Spices & Masala Mixes,Chola Meat Masala,Robust spice mix formulation for tender beef and mutton gravies.,"[100g, 50g]","[₹42, ₹22]","[₹38, ₹20]",https://www.cholafoods.com/images/spices/meat-masala.jpg
Spices & Masala Mixes,Chola Sambar Powder,Authentic roasted spice blend for fragrant South Indian sambar.,"[100g, 50g]","[₹36, ₹20]","[₹32, ₹17]",https://www.cholafoods.com/images/spices/sambar-powder.jpg
Sauces & Jams,Chola Tomato Ketchup / Sauce,Tangy and sweet tomato sauce made from ripe tomatoes.,"[500g, 200g]","[₹85, ₹40]","[₹75, ₹35]",https://www.cholafoods.com/images/products/tomato-sauce.jpg
Sauces & Jams,Chola Mixed Fruit Jam,Delicious fruity spread crafted with real fruit pulps.,"[500g, 200g]","[₹125, ₹60]","[₹110, ₹50]",https://www.cholafoods.com/images/products/mixed-fruit-jam.jpg
Flours & Pulses,Chola Rice Flour & Pulses Range,Identity preserved high quality flours and processed pulses.,"[1000g, 500g]","[₹75, ₹40]","[₹65, ₹35]",https://www.cholafoods.com/images/products/flours-pulses.jpg
